Column_Name	Type
AJCC_Stage	Primary
Anatomical_Site	Primary
Block_ID	Primary
CD8_positive_percent	Primary
CD8_Topology	Primary
HPV_status	Primary
Immune_Type	Primary
KRAS_mutation	Primary
Mutations	Primary
OS	Primary
Patient_Gender	Primary
Patient_Age	Primary
Primary_Diagnosis	Primary
Smoking_Status	Primary
Subtype	Primary
TMB_Score	Primary
TNM_Stage	Primary
Tumor_Purity	Primary
Region_ID	Primary
User_Sample_Keywords	Primary

Clustering_color_scheme	Portal
Pathology_color_scheme	Portal
Cluster_names	Portal
Pathology_names	Portal

